,date,available,total,profit
0,2020-01-02,100000.0,100000.0,0.0
1,2020-01-03,64244.28,99964.28,-35.720000000001164
2,2020-01-06,42932.99,99942.98999999999,-57.01000000000931
3,2020-01-07,28610.681999999997,99928.682,-71.3179999999993
4,2020-01-08,20150.229999999996,99920.23,-79.77000000000407
5,2020-01-09,14739.824999999995,99914.825,-85.17500000000291
6,2020-01-10,13020.106999999995,99913.107,-86.89299999999639
7,2020-01-13,11233.321999999995,99911.322,-88.67799999999988
8,2020-01-14,9421.511999999995,99909.512,-90.48799999999756
9,2020-01-15,8177.268999999995,99908.269,-91.73099999999977
10,2020-01-16,6951.043999999994,99907.044,-92.95600000000559
11,2020-01-17,5729.823999999994,99905.824,-94.17600000000675
12,2020-01-20,5729.823999999994,99905.824,-94.17600000000675
13,2020-01-21,5729.823999999994,99905.824,-94.17600000000675
14,2020-01-22,5729.823999999994,99905.824,-94.17600000000675
15,2020-01-23,5729.823999999994,99905.824,-94.17600000000675
16,2020-02-03,4593.688999999994,99904.689,-95.31100000000151
17,2020-02-04,4593.688999999994,99904.689,-95.31100000000151
18,2020-02-05,4593.688999999994,99904.689,-95.31100000000151
19,2020-02-06,4593.688999999994,99904.689,-95.31100000000151
20,2020-02-07,4593.688999999994,99904.689,-95.31100000000151
21,2020-02-10,4593.688999999994,99904.689,-95.31100000000151
22,2020-02-11,4593.688999999994,99904.689,-95.31100000000151
23,2020-02-12,4593.688999999994,99904.689,-95.31100000000151
24,2020-02-13,4593.688999999994,99904.689,-95.31100000000151
25,2020-02-14,4593.688999999994,99904.689,-95.31100000000151
26,2020-02-17,4593.688999999994,99904.689,-95.31100000000151
27,2020-02-18,4593.688999999994,99904.689,-95.31100000000151
28,2020-02-19,4593.688999999994,99904.689,-95.31100000000151
29,2020-02-20,4593.688999999994,99904.689,-95.31100000000151
30,2020-02-21,4593.688999999994,99904.689,-95.31100000000151
31,2020-02-24,4593.688999999994,99904.689,-95.31100000000151
32,2020-02-25,4593.688999999994,99904.689,-95.31100000000151
33,2020-02-26,4593.688999999994,99904.689,-95.31100000000151
34,2020-02-27,4593.688999999994,99904.689,-95.31100000000151
35,2020-02-28,4593.688999999994,99904.689,-95.31100000000151
36,2020-03-02,4593.688999999994,99904.689,-95.31100000000151
37,2020-03-03,4593.688999999994,99904.689,-95.31100000000151
38,2020-03-04,4593.688999999994,99904.689,-95.31100000000151
39,2020-03-05,4593.688999999994,99904.689,-95.31100000000151
40,2020-03-06,4593.688999999994,99904.689,-95.31100000000151
41,2020-03-09,4593.688999999994,99904.689,-95.31100000000151
42,2020-03-10,4593.688999999994,99904.689,-95.31100000000151
43,2020-03-11,4593.688999999994,99904.689,-95.31100000000151
44,2020-03-12,4593.688999999994,99904.689,-95.31100000000151
45,2020-03-13,4593.688999999994,99904.689,-95.31100000000151
46,2020-03-16,4593.688999999994,99904.689,-95.31100000000151
47,2020-03-17,4593.688999999994,99904.689,-95.31100000000151
48,2020-03-18,4593.688999999994,99904.689,-95.31100000000151
49,2020-03-19,4593.688999999994,99904.689,-95.31100000000151
50,2020-03-20,4593.688999999994,99904.689,-95.31100000000151
51,2020-03-23,4593.688999999994,99904.689,-95.31100000000151
52,2020-03-24,4593.688999999994,99904.689,-95.31100000000151
53,2020-03-25,4593.688999999994,99904.689,-95.31100000000151
54,2020-03-26,4593.688999999994,99904.689,-95.31100000000151
55,2020-03-27,4593.688999999994,99904.689,-95.31100000000151
56,2020-03-30,4593.688999999994,99904.689,-95.31100000000151
57,2020-03-31,4593.688999999994,99904.689,-95.31100000000151
58,2020-04-01,4593.688999999994,99904.689,-95.31100000000151
59,2020-04-02,4593.688999999994,99904.689,-95.31100000000151
60,2020-04-03,4593.688999999994,99904.689,-95.31100000000151
61,2020-04-07,4593.688999999994,99904.689,-95.31100000000151
62,2020-04-08,4593.688999999994,99904.689,-95.31100000000151
63,2020-04-09,4593.688999999994,99904.689,-95.31100000000151
64,2020-04-10,4593.688999999994,99904.689,-95.31100000000151
65,2020-04-13,4593.688999999994,99904.689,-95.31100000000151
66,2020-04-14,4593.688999999994,99904.689,-95.31100000000151
67,2020-04-15,4593.688999999994,99904.689,-95.31100000000151
68,2020-04-16,4593.688999999994,99904.689,-95.31100000000151
69,2020-04-17,4593.688999999994,99904.689,-95.31100000000151
70,2020-04-20,4593.688999999994,99904.689,-95.31100000000151
71,2020-04-21,4593.688999999994,99904.689,-95.31100000000151
72,2020-04-22,4593.688999999994,99904.689,-95.31100000000151
73,2020-04-23,4593.688999999994,99904.689,-95.31100000000151
74,2020-04-24,4593.688999999994,99904.689,-95.31100000000151
75,2020-04-27,4593.688999999994,99904.689,-95.31100000000151
76,2020-04-28,4593.688999999994,99904.689,-95.31100000000151
77,2020-04-29,4593.688999999994,99904.689,-95.31100000000151
78,2020-04-30,4593.688999999994,99904.689,-95.31100000000151
79,2020-05-06,4593.688999999994,99904.689,-95.31100000000151
80,2020-05-07,4593.688999999994,99904.689,-95.31100000000151
81,2020-05-08,4593.688999999994,99904.689,-95.31100000000151
82,2020-05-11,4593.688999999994,99904.689,-95.31100000000151
83,2020-05-12,4593.688999999994,99904.689,-95.31100000000151
84,2020-05-13,4593.688999999994,99904.689,-95.31100000000151
85,2020-05-14,4593.688999999994,99904.689,-95.31100000000151
86,2020-05-15,4593.688999999994,99904.689,-95.31100000000151
87,2020-05-18,4593.688999999994,99904.689,-95.31100000000151
88,2020-05-19,4593.688999999994,99904.689,-95.31100000000151
89,2020-05-20,4593.688999999994,99904.689,-95.31100000000151
