股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600004,白云机场,2023-03-03,,,,14.51,15.25,14.49,15.0,39.37486956339824,15.000000000000002,0.03734439834024883,53701947.0,800000431.0,0.02269046864839722,35500774245.0,35500774245.0,0,0,-68.65864061207013,7.36983927627185,53.51724611204882,1.9656765631577704,14.46799999999999,14.435000000000008,14.444000000000031,14.420333333333362,14.878500000000026,5日、10日均线金叉；5日、20日均线金叉；5日、30日均线金叉；10日、30日均线金叉；20日、30日均线金叉；,-0.027334376824555306,-0.07869483794684769,0.10272092224458476,,52.572792659676814,39.443625459373465,78.8311270602835,,14.40600000000003,14.883497382191818,13.928502617808244,50.0,44.44444444444426,79.40935478848985,65.03035880643229,55.311990242726495,0.052558782849239316,2.227190686529822
sh600004,白云机场,2023-03-02,,,,14.36,14.52,14.25,14.46,37.957374259115895,14.460000000000004,0.01048218029350112,20531066.0,296460916.0,0.008674909112535047,34222746372.18,34222746372.18,0,0,-66.18692955003561,7.104525062326063,51.590625252015066,1.894912206884091,14.299999999999988,14.40200000000001,14.40600000000003,14.421000000000028,14.869000000000025,10日、20日均线死叉；,-0.08249345861257851,-0.09153495322742078,0.018082989229684543,金叉,38.18754719847045,32.87904185922179,48.80455787696776,金叉,14.395000000000033,14.909031856989477,13.88096814301059,41.66666666666667,43.05555555555537,57.7373580931811,50.4576345586454,48.60640588049411,0.01886792452830177,1.315755167403368
sh600004,白云机场,2023-03-01,,,,14.25,14.43,14.2,14.31,37.56362556348192,14.310000000000002,0.002803083391730965,14724168.0,211056761.0,0.006221343750865003,33867738629.73,33867738629.73,0,0,-65.5003431439149,7.030826669563345,51.05545279089458,1.8752554412525129,14.251999999999986,14.41800000000001,14.395000000000033,14.433666666666694,14.870333333333356,10日、30日均线死叉；,-0.09671478178765724,-0.09379532688113133,-0.0058389098130518235,,28.026001648769448,30.22478918959747,23.6284265671134,,14.377500000000031,14.992564021058019,13.762435978942044,41.66666666666667,44.44444444444426,44.12378186120972,44.576631174324376,46.468086979951416,0.016117729502452716,1.0292846599370784
sh600004,白云机场,2023-02-28,,,,14.25,14.33,14.16,14.27,37.45862591131285,14.27,-0.002097902097902171,11518683.0,163913166.0,0.004866943008273536,33773069898.410007,33773069898.410007,0,0,-65.31725343561604,7.011173764826621,50.912740134595786,1.8700136370840923,14.261999999999986,14.454000000000011,14.377500000000031,14.451666666666695,14.873500000000025,,-0.09818687381420865,-0.09306546315449984,-0.010242821319417617,,25.909970215089647,31.32418296001148,15.081544725245983,,14.362500000000034,15.079742845903727,13.645257154096342,41.66666666666667,47.22222222222203,39.81567501537641,42.920341759404515,45.89277412416903,0.011888111888111785,0.7652892679706712
sh600004,白云机场,2023-02-27,,,,14.12,14.3,13.91,14.3,37.53737565043965,14.300000000000002,0.009887005649717562,20083968.0,284003995.0,0.008485998584733121,33844071446.9,33844071446.9,0,0,-65.4545707168402,7.025913443379164,51.01977462681987,1.873944990210408,14.309999999999988,14.49700000000001,14.362500000000034,14.481666666666696,14.867000000000024,5日、20日均线死叉；,-0.09456489856352412,-0.09178511048957264,-0.005559576147902978,,24.80245532263449,34.0312893324724,6.344787302958679,,14.354500000000034,15.147418974423042,13.561581025577025,50.0,49.9999999999998,41.83145168873404,43.82065761661156,46.250031501501695,0.02754237288135608,1.147389801729081
sh600004,白云机场,2023-02-24,,,,14.24,14.28,14.13,14.16,37.16987686784793,14.160000000000002,-0.0042194092827004814,11162200.0,158216084.0,0.004716319673607727,33512730887.28,33512730887.28,0,0,-64.81375673779421,6.957128276800627,50.520280329774074,1.855598675620935,14.40199999999999,14.53500000000001,14.354500000000034,14.513333333333362,14.852166666666692,,-0.09162099708263582,-0.09109016347108476,-0.0010616672231021362,死叉,21.969307983951705,38.64570633739135,-11.383488722927595,,14.368000000000032,15.192499181321663,13.543500818678401,41.66666666666667,51.38888888888869,27.571283146748016,38.282598594222215,44.31125521415426,0.010548523206751037,0.6320842265850769
sh600004,白云机场,2023-02-23,,,,14.41,14.42,14.15,14.22,37.32737634610152,14.220000000000002,-0.00974930362116988,14037200.0,200106049.0,0.005931081912379853,33654733984.26,33654733984.26,0,0,-65.08839130024249,6.986607633905714,50.73434931422228,1.8634613818735664,14.50399999999999,14.543000000000012,14.368000000000032,14.527666666666695,14.838500000000026,10日、30日均线金叉；5日、10日均线死叉；5日、30日均线死叉；,-0.0722762937803747,-0.09095745506819698,0.03736232257564456,,31.53886763630494,46.98390551411117,0.6487918806924711,,14.37600000000003,15.246325312742364,13.505674687257695,41.66666666666667,52.77777777777757,30.216909083669513,39.82490377608438,44.977579082109465,0.018802228412256095,0.6493632297132094
sh600004,白云机场,2023-02-22,,,,14.51,14.51,14.27,14.36,37.69487512869324,14.36,-0.010337698139214369,18455002.0,264982792.0,0.007797718102978799,33986074543.88,33986074543.88,0,0,-65.72920527928846,7.05539280048425,51.233843611268064,1.8818076964630384,14.583999999999993,14.540000000000012,14.37600000000003,14.554000000000027,14.82783333333336,,-0.05264321729231902,-0.09562774539015254,0.08596905619566703,,43.49877764493359,54.706424453014286,21.08348402877219,,14.387000000000029,15.285674106670543,13.488325893329515,50.0,54.16666666666646,37.14801651680602,43.58022035239673,46.54258206763302,0.016540317022742834,0.6893212426462728
sh600004,白云机场,2023-02-21,,,,14.71,14.72,14.43,14.51,38.08862382432722,14.510000000000002,-0.01693766937669372,23781878.0,345950920.0,0.010048461690951496,34341082286.33,34341082286.33,0,0,-66.41579168540919,7.1290911932469685,51.769016072388546,1.9014644620946164,14.645999999999992,14.525000000000011,14.387000000000029,14.562666666666694,14.815666666666692,,-0.04107309832331474,-0.10637387741461092,0.13060155818259236,,53.674092393326305,60.31024785705464,40.40178146586963,,14.40150000000003,15.310476099795869,13.492523900204192,58.333333333333336,54.16666666666646,46.71544044600533,48.028200007660914,48.26702754028628,0.019647696476964738,0.9087165160490546
sh600004,白云机场,2023-02-20,,,,14.77,14.85,14.5,14.76,38.74487165038386,14.760000000000002,0.006134969325153339,20860497.0,307409719.0,0.008814102273954504,34932761857.08,34932761857.08,0,0,-67.56010236227701,7.2519218478514995,52.660970174256036,1.9342257381472456,14.683999999999992,14.502000000000013,14.40150000000003,14.56433333333336,14.803000000000026,,-0.04098071959090355,-0.12269907218743495,0.1634367051930628,,61.992620071470924,63.62832558891882,58.72120903657513,,14.41300000000003,15.312478487791738,13.513521512208323,58.333333333333336,52.77777777777757,72.73223847064446,56.90082490673538,51.303068888833536,0.02385821404226307,0.7866097933934512
