¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,ÐÂÀËÐÐÒµ,ÐÂÀË¸ÅÄî,ÐÂÀËµØÓò,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,ºó¸´È¨¼Û,Ç°¸´È¨¼Û,ÕÇµø·ù,³É½»Á¿,³É½»¶î,»»ÊÖÂÊ,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ,ÊÇ·ñÕÇÍ£,ÊÇ·ñµøÍ£,ÊÐÓ¯ÂÊTTM,ÊÐÏúÂÊTTM,ÊÐÏÖÂÊTTM,ÊÐ¾»ÂÊ,MA_5,MA_10,MA_20,MA_30,MA_60,MA½ð²æËÀ²æ,MACD_DIF,MACD_DEA,MACD_MACD,MACD_½ð²æËÀ²æ,KDJ_K,KDJ_D,KDJ_J,KDJ_½ð²æËÀ²æ,²¼ÁÖÏßÖÐ¹ì,²¼ÁÖÏßÉÏ¹ì,²¼ÁÖÏßÏÂ¹ì,psy,psyma,rsi1,rsi2,rsi3,Õñ·ù,Á¿±È
sh600001,ºªµ¦¸ÖÌú,2009-12-15,,,,5.29,5.31,5.21,5.29,13.720879176467117,5.29,-0.011215000000000001,131004969.0,689340920.0,0.046514,14899055250.0,14899055250.0,0,0,130.94235237013814,0.4326993206304121,3.511415641269628,1.212950378403177,5.464000831674757,5.5890015493764995,5.581502579105666,5.46166722670523,5.245325988030147,,0.04272242083471056,0.09561551423239752,-0.10578618679537391,,31.315602777053744,43.390065750972894,7.166676829215447,,5.589002657845182,6.1884458932507185,4.989559422439645,58.333333333333336,63.88888888888895,28.271112254675373,41.31325188437347,47.129737357119595,0.018691587901701223,1.452380852391676
sh600001,ºªµ¦¸ÖÌú,2009-12-14,,,,5.47,5.47,5.2,5.35,13.876504170741985,5.350000252835551,-0.027273000000000002,130704741.0,690960594.0,0.046408,15068042640.0,15068042640.0,0,0,132.42752079163856,0.4376070632772559,3.5512426607998315,1.2267078492767656,5.548001604098391,5.622001798546522,5.589002657845182,5.452000289328451,5.249658920537277,5ÈÕ¡¢10ÈÕ¾ùÏßËÀ²æ£»5ÈÕ¡¢20ÈÕ¾ùÏßËÀ²æ£»,0.06950266359986834,0.10883878758181925,-0.07867224796390182,,39.942154165580625,49.42729723793247,20.971868020876926,,5.593002620987525,6.201845704838066,4.984159537136984,58.333333333333336,68.05555555555561,31.269690331940108,43.3885669884723,48.25887154163879,0.04909089532710276,1.735255901464937
sh600001,ºªµ¦¸ÖÌú,2009-12-11,,,,5.68,5.73,5.45,5.5,14.26556903503448,5.500001801980979,-0.021352,104960264.0,584602657.0,0.037267,15490511130.0,15490511130.0,0,0,136.1404419772191,0.44987642032999614,3.6508102131605464,1.261101527681906,5.642001933129319,5.635002254147826,5.593002620987525,5.437000041737985,5.250325158919029,,0.09656392715177908,0.11867281857730698,-0.04421778285105579,,48.19448124837097,54.1698687741084,36.2437061968961,ËÀ²æ,5.5780024502397705,6.187970010890458,4.968034889589083,58.333333333333336,72.2222222222223,40.13927826106659,49.033248392274,51.19759956005192,0.04982207999999988,1.6486283109249509
sh600001,ºªµ¦¸ÖÌú,2009-12-10,,,,5.62,5.7,5.55,5.62,14.57681314940048,5.620000042896915,0.010791,44208092.0,248443079.0,0.015696,15828485920.0,15828485920.0,0,0,139.11077890810628,0.4596919059141044,3.7304642545777575,1.2886164702431957,5.690002266659903,5.615002674440712,5.5780024502397705,5.413999749847013,5.247491379333734,,0.11442648868647609,0.12420004143368893,-0.019547105494425676,,58.461934638513895,57.15756253697712,61.07067884158745,,5.558002257716881,6.171736071714905,4.944268443718856,66.66666666666666,75.00000000000007,49.49929873461866,54.2044259730938,53.704812167232774,0.026978407473309707,0.7320772945762317
sh600001,ºªµ¦¸ÖÌú,2009-12-09,,,,5.63,5.69,5.51,5.56,14.421194044466644,5.560002060660327,-0.026269999999999998,40122678.0,224938898.0,0.014246,15659498520.0,15659498520.0,0,0,137.62561039871954,0.45478416297684005,3.6906372326907504,1.2748589985554952,5.700002583983699,5.614003028440356,5.558002257716881,5.386332908980161,5.242657629066508,,0.12334322468024528,0.12664342962049213,-0.006600409880493707,ËÀ²æ,57.69290195777083,56.505376486208725,60.06795290089504,,5.537502026054156,6.15287889492027,4.922125157188042,66.66666666666666,76.38888888888897,44.06461341152712,51.8784141276859,52.592394326930204,0.03152363309352535,0.6108571533909197
sh600001,ºªµ¦¸ÖÌú,2009-12-08,,,,5.82,5.83,5.65,5.71,14.810259563191686,5.710003862118173,-0.0189,56619400.0,323530942.0,0.020103,16081967010.0,16081967010.0,0,0,141.33853158430009,0.4670535200295803,3.790204785051465,1.3092526769606352,5.714002267078228,5.647003074656656,5.537502026054156,5.365665932190274,5.239657203534189,,0.1390390244537585,0.12746848085555385,0.023141087196409282,,61.993898391201725,55.91161375042768,74.15846767274982,,5.512501619864668,6.127906736920834,4.897096502808503,75.0,77.77777777777787,56.799689314720816,58.712674984484,55.805190028300025,0.03092784588441333,0.8169915542610302
sh600001,ºªµ¦¸ÖÌú,2009-12-07,,,,5.72,5.84,5.68,5.82,15.095565755979704,5.8200018979901875,0.013937,72415605.0,418272128.0,0.025712,16391777230.0,16391777230.0,0,0,144.06134040099403,0.4760510483606709,3.8632209887019067,1.334474707302604,5.69600199299464,5.646003116460138,5.512501619864668,5.34099885766703,5.227323442146494,,0.14177727602418955,0.12457584495600267,0.03440286213637375,,60.6831552791103,52.87047143004065,76.3085229772496,,5.483001286971492,6.09004908973886,4.875953484204123,83.33333333333334,76.38888888888897,68.98284809160774,64.41701422795771,58.308394346582126,0.027874556701031006,1.0417500018945982
sh600001,ºªµ¦¸ÖÌú,2009-12-04,,,,5.65,5.78,5.5,5.74,14.888070714432653,5.740003469633898,0.012346,88570184.0,502178000.0,0.031447,16166460710.0,16166460710.0,0,0,142.08111583899344,0.4695073914982125,3.8101182959949687,1.3161314128044856,5.6280025751663185,5.626003279651598,5.483001286971492,5.320665121296508,5.211989695612011,5ÈÕ¡¢10ÈÕ¾ùÏß½ð²æ£»,0.13201026581585573,0.12027548718895593,0.023469557253799594,,50.255502149434676,48.96412950550583,52.83824743729237,½ð²æ,5.453500874213055,6.053357013131025,4.8536447352950844,83.33333333333334,73.61111111111119,64.34827457573469,61.9526441806164,56.96291295617789,0.04938273170731722,1.3562977842455521
sh600001,ºªµ¦¸ÖÌú,2009-12-03,,,,5.62,5.73,5.49,5.67,14.706504213413847,5.670001629515895,0.0071049999999999985,70685067.0,396275120.0,0.025097,15969308750.0,15969308750.0,0,0,140.34841930329978,0.4637816915983512,3.763653438697996,1.300081029711576,5.540003082221506,5.609003095219643,5.453500874213055,5.300664615846487,5.1979892562168,,0.12576915435253877,0.11734179253223095,0.016854723640615632,,45.38325322415201,48.3184431835414,39.51287330537322,,5.4255005017384565,6.020062159397651,4.830938844079262,75.0,70.83333333333339,59.988777002734075,59.71469821460711,55.76580930440521,0.04262878306878326,1.2199818347578084
sh600001,ºªµ¦¸ÖÌú,2009-12-02,,,,5.63,5.68,5.56,5.63,14.602751662849302,5.63000047613297,0.001779,58221282.0,327325388.0,0.020672,15856650480.0,15856650480.0,0,0,139.35830693441318,0.4605098628767013,3.7371020899877223,1.2909093816484043,5.528003472896998,5.595003243548001,5.4255005017384565,5.280664128052086,5.193322133683469,5ÈÕ¡¢10ÈÕ¾ùÏßËÀ²æ£»,0.12310131719715578,0.115234952077154,0.015732730240003573,,42.741546502894685,49.78603816323609,28.652563182211864,,5.398000065369597,5.987871330536204,4.808128800202991,75.0,69.4444444444445,57.514922742246064,58.43402725476475,55.08159385445223,0.021352305506216696,0.9685271216057673
sh600001,ºªµ¦¸ÖÌú,2009-12-01,,,,5.47,5.64,5.37,5.62,14.576819500957098,5.6200024917002365,0.025547,57674960.0,319726470.0,0.020478,15828485920.0,15828485920.0,0,0,139.11077890810628,0.4596919059141044,3.7304642545777575,1.2886164702431957,5.58000388223507,5.5740036088348415,5.398000065369597,5.264663675249827,5.193988369663117,,0.12197846695858683,0.11326836079715354,0.017420212322866585,,41.44565308767536,53.308283993406796,17.72039127621248,,5.366999534719417,5.949181797366541,4.784817272072293,75.0,68.0555555555556,56.96065883949164,58.12905871096999,54.91455106802421,0.04927005160142339,0.844887731020702
sh600001,ºªµ¦¸ÖÌú,2009-11-30,,,,5.35,5.48,5.29,5.48,14.213702054569024,5.480004808848581,0.033962,51363027.0,277206324.0,0.018237,15434182000.0,15434182000.0,0,0,135.64538583671896,0.4482405061143816,3.637534539983812,1.2565157040573762,5.596004239925621,5.55600351714385,5.366999534719417,5.246996463376485,5.194987946043781,,0.11978904609511165,0.11109083425679522,0.017396423676632855,,40.16847963151304,59.239599446272514,2.0262400019940827,,5.337998935533067,5.918049071397462,4.757948799668672,66.66666666666666,66.6666666666667,49.232141770673735,53.77589014322851,52.54646809130122,0.03584904744525563,0.5947822660212063
sh600001,ºªµ¦¸ÖÌú,2009-11-27,,,,5.49,5.55,5.29,5.3,13.74683214138336,5.300006004909833,-0.055258,51752875.0,279045370.0,0.018375,14927219820.0,14927219820.0,0,0,131.18988048433138,0.4335172778834296,3.5180534790363973,1.2152432906224977,5.624003984136863,5.551002987827235,5.337998935533067,5.23399584093153,5.195820806946,,0.129506472321971,0.1089162812972161,0.04118038204950977,,47.58605278060286,68.77515935365226,5.207839634504069,,5.313498287550167,5.895326155854019,4.731670419246314,66.66666666666666,66.6666666666667,37.13761308680751,47.320972253081166,49.26285556127444,0.046345833962264216,0.5875269492722355
