datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10
2021-08-18,14.5,19.88,14.5,18.0,78034600.0,0,,,
2021-08-19,17.0,17.48,15.36,15.42,62939600.0,0,,,
2021-08-20,15.16,16.48,14.71,14.81,48665400.0,0,,,
2021-08-23,14.2,16.21,13.98,15.62,44571200.0,0,,,
2021-08-24,15.27,16.2,14.82,15.51,44599900.0,0,,,
2021-08-25,15.42,16.47,15.15,15.7,39236200.0,0,,1,
2021-08-26,15.42,15.88,14.71,14.73,30996200.0,0,,-1,
2021-08-27,14.4,14.81,13.88,14.38,27805900.0,0,,,
2021-08-30,14.02,14.7,14.02,14.13,16755300.0,0,,,
2021-08-31,14.12,14.72,14.02,14.46,19820700.0,0,,,
2021-09-01,14.48,17.35,14.08,17.35,56343500.0,0,,1,
2021-09-02,17.38,20.82,16.76,20.82,75318300.0,0,1,,
2021-09-03,19.68,23.16,18.9,19.29,77602800.0,0,,,1.0
2021-09-06,19.3,20.4,18.25,18.92,48217100.0,0,,,
2021-09-07,19.41,19.66,17.81,18.18,42974700.0,0,,,
2021-09-08,17.8,18.25,17.42,17.55,30444100.0,0,,,
2021-09-09,17.56,18.37,17.34,17.79,32610200.0,0,,,
2021-09-10,17.35,17.38,16.18,16.2,31451700.0,0,,,-1.0
2021-09-13,16.28,16.77,15.7,16.38,19954700.0,0,-1,-1,
2021-09-14,16.3,16.75,15.89,16.6,20110200.0,0,,,
2021-09-15,16.45,16.88,16.07,16.36,16677400.0,0,,,
2021-09-16,16.0,16.58,15.8,16.18,17015800.0,0,,,
2021-09-17,16.03,16.16,14.81,15.29,19410200.0,0,,,
2021-09-22,14.91,15.55,14.85,15.3,9419500.0,0,,,
2021-09-23,15.31,16.16,15.31,15.9,14149100.0,0,,,
2021-09-24,15.64,15.76,14.82,14.88,12678500.0,0,,,
2021-09-27,14.93,14.98,14.06,14.36,10014300.0,0,,,
2021-09-28,14.39,14.65,14.34,14.6,6075800.0,0,,,
2021-09-29,14.28,14.62,14.06,14.26,6853700.0,0,,,
2021-09-30,14.36,14.66,14.3,14.5,5949700.0,0,,,
2021-10-08,14.98,15.07,14.52,14.81,7303500.0,0,,,
2021-10-11,14.84,14.89,14.46,14.54,5599700.0,0,,,
2021-10-12,14.48,14.48,14.03,14.36,6253600.0,0,,,
2021-10-13,14.28,15.45,14.22,15.22,14557600.0,0,,,
2021-10-14,15.0,15.58,14.9,15.23,10876300.0,0,1,,1.0
2021-10-15,15.23,15.39,14.83,14.91,7548400.0,0,,1,
2021-10-18,14.81,15.2,14.68,14.99,6736000.0,0,,,
2021-10-19,15.12,15.36,15.01,15.08,6048300.0,0,,,
2021-10-20,15.1,15.1,14.53,14.58,7966100.0,0,,,-1.0
2021-10-21,14.56,14.85,14.37,14.85,6484300.0,0,,,
2021-10-22,14.84,14.91,14.51,14.55,5609600.0,0,-1,,
2021-10-25,14.4,14.5,14.2,14.5,4426400.0,0,,,
2021-10-26,14.5,14.55,14.2,14.24,5170800.0,0,,-1,
2021-10-27,14.21,14.21,13.02,13.04,11664500.0,0,,,
2021-10-28,13.18,13.18,12.18,12.26,8329100.0,0,,,1.0
2021-10-29,12.21,12.48,12.02,12.34,4423000.0,0,,,
2021-11-01,12.4,12.87,12.21,12.7,6094100.0,0,,,
2021-11-02,12.88,12.88,12.21,12.32,5138300.0,0,,,
2021-11-03,12.25,12.5,12.24,12.43,3705400.0,0,,,-1.0
2021-11-04,12.42,13.11,12.42,12.73,6816700.0,0,,,
2021-11-05,12.61,12.9,12.5,12.72,6228200.0,0,,,
2021-11-08,12.88,12.98,12.7,12.92,5102500.0,0,,,
2021-11-09,12.93,13.08,12.81,12.98,5248700.0,0,1,1,
2021-11-10,12.89,13.1,12.8,13.1,6211300.0,0,,,1.0
2021-11-11,13.02,13.59,13.02,13.51,9486500.0,0,,,
2021-11-12,13.42,13.75,13.22,13.55,7587100.0,0,,,
2021-11-15,13.58,14.3,13.58,14.21,10463300.0,0,,,
2021-11-16,14.41,14.41,13.47,13.53,10342500.0,0,,,
2021-11-17,13.51,13.93,13.5,13.72,6372800.0,0,,,
2021-11-18,13.71,15.49,13.6,14.6,21356900.0,0,,,
2021-11-19,14.39,14.87,14.23,14.69,13316819.0,0,,,
2021-11-22,14.9,15.13,14.38,14.53,10447623.0,0,,,
2021-11-23,14.39,14.79,14.28,14.47,9312690.0,0,,,
2021-11-24,14.42,15.32,14.2,15.16,16916034.0,0,,,
2021-11-25,15.0,15.05,14.73,14.83,9489748.0,0,,,
2021-11-26,14.86,14.86,14.42,14.45,6194799.0,0,,,-1.0
2021-11-29,14.03,14.4,14.02,14.14,6161731.0,0,,,
2021-11-30,14.19,14.62,14.14,14.34,6237776.0,0,,,
2021-12-01,14.35,14.68,14.16,14.6,6568470.0,0,-1,,
2021-12-02,14.55,17.52,14.36,16.48,41294772.0,0,1,,1.0
2021-12-03,15.78,16.4,15.21,15.94,27479359.0,0,,,
2021-12-06,15.71,15.88,14.76,14.83,17019614.0,0,,,
2021-12-07,15.12,16.28,14.88,15.85,26502447.0,0,,,
2021-12-08,15.48,15.73,15.3,15.52,14546625.0,0,,,
2021-12-09,15.5,15.88,14.98,15.25,16599800.0,0,,,
2021-12-10,15.25,15.33,14.86,15.27,12558357.0,0,,,-1.0
2021-12-13,15.4,15.77,15.04,15.05,11346342.0,0,,,
2021-12-14,14.9,14.92,14.4,14.51,12431509.0,0,-1,-1,
2021-12-15,14.55,15.48,14.45,15.29,18026627.0,0,,,
2021-12-16,15.1,15.25,14.92,15.0,8813745.0,0,,,
2021-12-17,15.08,15.38,14.59,14.61,9644874.0,0,,,
2021-12-20,14.4,15.03,14.4,14.57,7000936.0,0,,,
2021-12-21,14.51,15.11,14.46,14.98,8931362.0,0,,,
2021-12-22,14.98,15.35,14.65,14.68,10231735.0,0,,,
2021-12-23,14.55,15.5,14.33,15.25,17470128.0,0,,,
2021-12-24,15.15,15.38,14.52,14.56,11742751.0,0,,,
2021-12-27,14.47,14.5,13.44,13.6,10341585.0,0,,,1.0
2021-12-28,13.57,13.78,13.48,13.56,4316535.0,0,,,
2021-12-29,13.56,13.73,13.3,13.67,5046737.0,0,,,
2021-12-30,13.55,13.71,13.52,13.55,4398705.0,0,,,-1.0
2021-12-31,13.45,13.92,13.45,13.67,3806180.0,0,,,
2022-01-04,13.53,13.84,13.53,13.83,3916680.0,0,,,
2022-01-05,13.82,13.82,13.46,13.5,4305887.0,0,,,
2022-01-06,13.5,14.09,13.42,13.83,6535017.0,0,,,
2022-01-07,13.83,14.4,13.68,14.1,8843937.0,0,,,
2022-01-10,14.07,14.93,13.7,14.82,13487894.0,0,1,1,1.0
2022-01-11,14.8,14.82,14.43,14.53,8029159.0,0,,,
2022-01-12,14.44,14.63,14.36,14.52,5133179.0,0,,,
2022-01-13,14.58,14.58,13.91,13.96,6791872.0,0,,,
2022-01-14,13.87,14.12,13.6,13.64,5077534.0,0,,,
2022-01-17,13.56,13.88,13.55,13.81,3535570.0,0,,-1,-1.0
2022-01-18,13.77,14.46,13.55,14.31,9309149.0,0,-1,1,
