datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10
2015-05-28,12.3,14.76,12.3,14.76,4300.0,0,,,
2015-05-29,16.24,16.24,16.24,16.24,3000.0,0,,1,
2015-06-01,17.86,17.86,17.86,17.86,2000.0,0,,,
2015-06-02,19.65,19.65,19.65,19.65,1000.0,0,,,
2015-06-03,21.62,21.62,21.62,21.62,1500.0,0,,,
2015-06-04,23.78,23.78,23.78,23.78,6400.0,0,1,,
2015-06-05,26.16,26.16,26.16,26.16,1100.0,0,,,
2015-06-08,28.78,28.78,28.78,28.78,5400.0,0,,,
2015-06-09,31.66,31.66,31.66,31.66,5800.0,0,,,
2015-06-10,34.83,34.83,34.83,34.83,9000.0,0,,,
2015-06-11,38.31,38.31,38.31,38.31,2800.0,0,,,
2015-06-12,42.14,42.14,42.14,42.14,6800.0,0,,,
2015-06-15,46.35,46.35,46.35,46.35,39600.0,0,,,
2015-06-16,50.99,50.99,50.99,50.99,155900.0,0,,,
2015-06-17,56.09,56.09,56.09,56.09,174300.0,0,,,
2015-06-18,56.09,58.2,50.48,50.48,9523600.0,0,,,
2015-06-19,46.1,49.3,45.43,45.43,6440300.0,0,,,
2015-06-23,44.31,48.44,44.31,47.3,4862200.0,0,,,
2015-06-24,48.0,48.86,46.33,47.0,4520500.0,0,,,
2015-06-25,46.8,47.27,44.81,44.98,3555900.0,0,,,
2015-06-26,43.8,43.8,40.48,40.48,3116100.0,0,-1,-1,
2015-06-29,41.01,41.98,36.43,36.43,2579300.0,0,,,
2015-06-30,34.7,39.88,32.8,38.66,4318000.0,0,,,-1.0
2015-07-01,37.4,42.53,35.83,36.48,4114400.0,0,,,
2015-07-02,35.3,39.96,34.88,36.57,3330200.0,0,,,
2015-07-03,35.5,37.15,32.91,32.92,2344000.0,0,,,
2015-07-06,36.21,36.21,29.63,30.31,2762700.0,0,,,
2015-07-07,28.5,28.9,27.28,27.28,1212600.0,0,,,
2015-12-01,30.01,30.01,30.01,30.01,5300.0,0,,,
2015-12-02,33.01,33.01,33.01,33.01,4400.0,0,,,
2015-12-03,36.31,36.31,36.31,36.31,7400.0,0,,,
2015-12-04,39.94,39.94,39.94,39.94,17200.0,0,,,
2015-12-07,43.93,43.93,43.93,43.93,85300.0,0,1,1,
2015-12-08,48.32,48.32,48.32,48.32,70700.0,0,,,
2015-12-09,53.15,53.15,53.15,53.15,123000.0,0,,,
2015-12-10,58.47,58.47,58.47,58.47,284600.0,0,,,
2015-12-11,64.32,64.32,64.32,64.32,294800.0,0,,,
2015-12-14,70.75,70.75,70.75,70.75,479900.0,0,,,1.0
2015-12-15,77.83,77.83,77.83,77.83,2328000.0,0,,,
2015-12-16,80.0,85.61,78.54,85.61,10791100.0,0,,,
2015-12-17,85.0,92.27,83.0,83.99,9996700.0,0,,,
2015-12-18,82.11,86.0,81.11,82.5,6949700.0,0,,,
2015-12-21,81.18,82.27,75.09,75.98,5909200.0,0,,,
2015-12-22,76.75,77.78,75.01,77.0,3366100.0,0,,,
2015-12-23,77.0,77.68,72.51,72.94,3731700.0,0,,,
2015-12-24,71.9,72.94,69.8,71.61,2911300.0,0,-1,,-1.0
2015-12-25,71.68,72.89,67.6,68.8,3930700.0,0,,-1,
2015-12-28,68.5,70.41,67.81,68.75,2943600.0,0,,,
2015-12-29,68.95,69.76,65.5,69.72,2854300.0,0,,,
2015-12-30,69.0,69.75,67.61,69.18,2108500.0,0,,,
2015-12-31,68.95,71.68,65.11,65.53,3436500.0,0,,,
2016-01-04,63.68,64.03,58.98,58.98,2534600.0,0,,,
2016-01-05,53.2,58.21,53.2,55.99,3033100.0,0,,,
2016-01-06,56.9,61.59,56.12,61.59,4206800.0,0,,,
2016-01-07,61.98,61.98,55.43,55.44,1649400.0,0,,,1.0
2016-01-08,58.2,60.98,55.55,60.98,3992100.0,0,,,
2016-01-11,61.61,67.08,61.61,67.08,5271100.0,0,,,
2016-01-12,67.4,73.79,62.5,68.96,10693700.0,0,,,
2016-01-13,63.4,65.55,62.06,62.06,5860600.0,0,1,,
2016-01-14,57.23,60.5,55.85,58.67,6729500.0,0,,,
2016-01-15,57.88,58.47,52.8,52.8,4440000.0,0,,,
2016-01-18,48.66,58.08,48.01,58.08,4352000.0,0,-1,,
