datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10
2017-03-06,14.94,17.93,14.94,17.93,3700.0,0,,,
2017-03-07,19.72,19.72,19.72,19.72,2538.0,0,,1,
2017-03-08,21.69,21.69,21.69,21.69,2000.0,0,,,
2017-03-09,23.86,23.86,23.86,23.86,3357.0,0,,,
2017-03-10,26.25,26.25,26.25,26.25,2400.0,0,,,
2017-03-13,28.88,28.88,28.88,28.88,6457.0,0,1,,
2017-03-14,31.77,31.77,31.77,31.77,4714.0,0,,,
2017-03-15,34.95,34.95,34.95,34.95,6400.0,0,,,
2017-03-16,38.45,38.45,38.45,38.45,14400.0,0,,,
2017-03-17,42.3,42.3,42.3,42.3,13300.0,0,,,
2017-03-20,46.53,46.53,46.53,46.53,24700.0,0,,,
2017-03-21,51.18,51.18,51.18,51.18,28700.0,0,,,
2017-03-22,56.3,56.3,56.3,56.3,38375.0,0,,,
2017-03-23,61.93,61.93,61.93,61.93,46957.0,0,,,
2017-03-24,68.12,68.12,68.12,68.12,73071.0,0,,,
2017-03-27,74.93,74.93,74.93,74.93,96799.0,0,,,
2017-03-28,82.42,82.42,82.42,82.42,93187.0,0,,,
2017-03-29,90.66,90.66,90.66,90.66,213483.0,0,,,
2017-03-30,99.73,99.73,99.73,99.73,2872927.0,0,,,
2017-03-31,106.0,109.7,106.0,107.84,22028921.0,0,,,
2017-04-05,102.0,105.88,97.06,102.91,12658170.0,0,,,
2017-04-06,102.9,107.69,99.5,100.07,10678862.0,0,,,
2017-04-07,100.2,106.0,100.2,102.46,7601412.0,0,,,
2017-04-10,98.45,99.23,92.21,92.21,6760033.0,0,,,
2017-04-11,89.56,92.6,84.22,87.78,7517374.0,0,,,
2017-04-12,88.49,91.98,87.39,87.9,5783639.0,0,-1,-1,
2017-04-13,86.18,88.98,84.47,86.4,4350904.0,0,,,-1.0
2017-04-14,85.88,89.0,85.81,86.8,4226874.0,0,,,
2017-04-17,82.22,83.57,78.81,79.3,5176839.0,0,,,
2017-04-18,80.01,82.3,79.04,79.26,2560565.0,0,,,
2017-04-19,77.51,80.5,76.41,79.98,3711608.0,0,,,
2017-04-20,79.5,80.94,74.03,76.4,3990882.0,0,,,
2017-04-21,76.66,77.5,74.0,74.0,1946235.0,0,,,
2017-04-24,74.39,74.39,68.3,68.63,3409089.0,0,,,
2017-04-25,68.63,71.5,68.63,70.65,2595825.0,0,,,
2017-04-26,70.77,77.72,70.19,77.72,5119278.0,0,,,
2017-04-27,77.0,80.8,74.0,79.5,4942981.0,0,,,
2017-04-28,78.95,82.0,78.42,79.4,3408220.0,0,,,1.0
2017-05-02,79.22,82.57,78.18,79.61,3372160.0,0,1,,
2017-05-03,79.3,80.98,76.61,80.54,3562168.0,0,,,
2017-05-04,79.57,81.9,78.21,79.38,2979701.0,0,,,
2017-05-05,78.11,79.44,76.29,76.29,2615724.0,0,,,-1.0
2017-05-08,75.01,77.37,74.64,74.64,1881450.0,0,,,
2017-05-09,75.0,77.3,74.22,76.68,2145938.0,0,,,
2017-05-10,76.54,77.8,74.61,74.67,2548128.0,0,-1,,
2017-05-11,72.71,76.99,71.58,76.58,3061505.0,0,,,
2017-05-12,76.5,80.46,75.83,80.18,4133684.0,0,,,
2017-05-15,79.7,80.85,78.5,79.44,2524309.0,0,,,1.0
2017-05-16,79.45,85.0,79.1,84.2,4364235.0,0,1,1,
2017-05-17,83.81,84.58,82.5,83.06,2915108.0,0,,,
